,Endereco,LATITUDE,LONGITUDE
11755,"rua rod dos minerios, SANTA CÂNDIDA, Curitiba",-25.2725494,-49.3034777
11756,"rua dona paulina, BACACHERI, Curitiba",-25.394674,-49.2281802
11757,"rua antonio reffo bochino, CAJURU, Curitiba",-25.4601547,-49.2132111
11758,"rua airton sozzi, PINHEIRINHO, Curitiba",-25.5322888,-49.2866528
11759,"rua joacaba, CIDADE INDUSTRIAL, Curitiba",-25.4735155,-49.3452036
11760,"rua leopoldo fróes, PRADO VELHO, Curitiba",-25.46177,-49.2554857
11761,"rua arlene maria hansel, CAJURU, Curitiba",-25.4656167,-49.24071920000001
11762,"rua da bandeira, MERCÊS, Curitiba",-25.4013484,-49.2542869
11763,"rua gianfranco bertoni, SÍTIO CERCADO, Curitiba",-25.5399511,-49.2636634
11764,"rua afonso gonçalves arantes, BOA VISTA, Curitiba",-25.3792285,-49.297556
11765,"rua osiris de brito, CAJURU, Curitiba",-21.2755425,-47.30135320000001
11766,"rua jupiter, SÍTIO CERCADO, Curitiba",-25.5290145,-49.26568409999999
11767,"rua robison ferreira de andrade, UBERABA, Curitiba",-25.4936459,-49.2016976
11768,"rua victor grycajuk, SÃO MIGUEL, Curitiba",-25.5070608,-49.3542131
11769,"rua joao cubas, NOVO MUNDO, Curitiba",-25.4844489,-49.2891127
11770,"rua vicente antonio de oliveira, BARREIRINHA, Curitiba",-25.3686115,-49.2505897
11771,"rua maria goncalves alexandre, CAJURU, Curitiba",-25.4549694,-49.2183145
11772,"rua ladislau veiga, CIDADE INDUSTRIAL, Curitiba",-25.456552,-49.35677949999999
11773,"rua presidente pádua fleury, BOQUEIRÃO, Curitiba",-25.4778274,-49.2531432
11774,"rua joão lourenço de paula, PINHEIRINHO, Curitiba",-25.5327881,-49.2810601
11775,"rua joão sigismundo wysocki, ORLEANS, Curitiba",-25.4285474,-49.374437
11776,"rua comendador bortholo pellanda netto, PINHEIRINHO, Curitiba",-25.5300371,-49.2833705
11777,"rua nicolau jose gravina, SANTA FELICIDADE, Curitiba",-25.4176959,-49.31814300000001
11778,"rua francisco plantes cordeiro, UMBARÁ, Curitiba",-25.5565129,-49.2808759
11779,"rua paulinia, SÍTIO CERCADO, Curitiba",-25.5443488,-49.26656209999999
11780,"rua pedro sebastiao medeiros, ALTO BOQUEIRÃO, Curitiba",-25.52734,-49.24335319999999
11781,"rua jodat nicolas kury, CAMPINA DO SIQUEIRA, Curitiba",-25.438672,-49.3073614
11782,"rua villibaldo josé hoffmann, CAMPO DE SANTANA, Curitiba",-25.5907478,-49.3233013
11783,"rua cecilia aguiale pinto, ALTO BOQUEIRÃO, Curitiba",-25.5365067,-49.23732889999999
11784,"rua vergílio pedro carbonera, SANTA FELICIDADE, Curitiba",-25.4129876,-49.3462289
11785,"rua república oriental do uruguay, BIGORRILHO, Curitiba",-25.4288123,-49.3008406
11786,"rua paulo engel, PINHEIRINHO, Curitiba",-25.526359,-49.2686731
11787,"rua professor jose nogueira dos santos, HAUER, Curitiba",-25.4857482,-49.2591457
11788,"rua oberon floriano dittert, PINHEIRINHO, Curitiba",-25.5380423,-49.3011378
11789,"rua são francisco, PORTÃO, Curitiba",-25.4280348,-49.2704056
11790,"rua maria da luz rockenbauer, SÍTIO CERCADO, Curitiba",-25.5403044,-49.26519099999999
11791,"rua angela gabardo parolin, CAMPO DE SANTANA, Curitiba",-25.5956467,-49.3085007
11792,"rua tenente coronel manoel miguel ribeiro, BOM RETIRO, Curitiba",-25.4147248,-49.2829501
11793,"rua helena grodzinsk, UMBARÁ, Curitiba",-25.5528866,-49.2784321
11795,"rua francisco kleichevicz, ORLEANS, Curitiba",-25.4289098,-49.3471297
11796,"rua francisco frischmann, ÁGUA VERDE, Curitiba",-25.470167,-49.2954332
11797,"rua doutor hugo de barros, CAJURU, Curitiba",-25.4601935,-49.2305719
11798,"rua adam kazimier mazilak, UBERABA, Curitiba",-25.4890823,-49.19736169999999
11799,"rua terminal  do sitio cercado, SÍTIO CERCADO, Curitiba",-25.5443488,-49.26656209999999
11800,"rua cambará, JUVEVÊ, Curitiba",-25.4166521,-49.2576307
11801,"rua victor grycajuck, 121 a, CIDADE INDUSTRIAL, Curitiba",42.9825633,-77.4088794
11802,"rua guilherme tragante, TARUMÃ, Curitiba",-25.4344843,-49.2301927
11803,"rua capitão carlos henrique castor, BOA VISTA, Curitiba",-25.396921,-49.2771912
11804,"rua antonio matheus, UMBARÁ, Curitiba",-25.5653995,-49.2840204
11805,"rua fioravante jose beraldin, CIDADE INDUSTRIAL, Curitiba",-25.4985035,-49.3384346
11806,"rua manoel sebastião borba, XAXIM, Curitiba",-25.5097074,-49.2715113
11807,"rua doutor roberto barrozo, SÃO FRANCISCO, Curitiba",-25.4171952,-49.2758237
11808,"rua senador accioly filho, CENTRO CÍVICO, Curitiba",-25.4974267,-49.3253023
11809,"rua joão micheletto, ALTO BOQUEIRÃO, Curitiba",-25.5317642,-49.2421568
11810,"rua júlio perneta, VISTA ALEGRE, Curitiba",-25.4160082,-49.2873545
11811,"rua candido bonora, CIDADE INDUSTRIAL, Curitiba",-25.5072759,-49.3261732
11812,"rua general djalma da rocha lima, BOQUEIRÃO, Curitiba",40.742551,-84.1052256
11813,"rua puccini, SÃO BRAZ, Curitiba",-25.417635,-49.3509177
