,Endereco,LATITUDE,LONGITUDE
276,"rua xv de novembro, CENTRO, Curitiba",-25.4285759,-49.2650078
277,"rua saturnino miranda, SANTA FELICIDADE, Curitiba",-25.3966966,-49.33495509999999
278,"rua francisco borges machado, CAPÃO DA IMBUIA, Curitiba",-25.4323422,-49.2140444
279,"rua deputado mário de barros, CENTRO CÍVICO, Curitiba",-25.4119308,-49.2693334
280,"rua clávio molinari, ABRANCHES, Curitiba",-25.4396,-49.2114482
281,"rua clávio molinari, CAJURU, Curitiba",-25.4396,-49.2114482
282,"rua  dos funcionários, CABRAL, Curitiba",-25.406527,-49.2517266
283,"rua antenor josé tedeschi, CAJURU, Curitiba",-25.4563518,-49.2008313
284,"rua robert redzimski, CAMPO COMPRIDO, Curitiba",-25.4574862,-49.348574
285,"rua marechal floriano peixoto, HAUER, Curitiba",-25.476999,-49.2494121
286,"rua  monsenhor ivo zanlorenzi, CAMPO COMPRIDO, Curitiba",-25.4390853,-49.33161560000001
287,"rua adolfo joao hilario da veiga, CIDADE INDUSTRIAL, Curitiba",-25.4508624,-49.3540985
288,"rua catulo da paixão cearense, CAPÃO DA IMBUIA, Curitiba",-25.4649395,-49.2061748
289,"rua  1 de maio, XAXIM, Curitiba",-25.5138195,-49.2783394
290,"rua professor joão falarz, CAMPO COMPRIDO, Curitiba",-25.4394581,-49.3464305
291,"rua  tijucas do sul, SÍTIO CERCADO, Curitiba",-25.5444929,-49.2657766
292,"rua 6 quadra 15, SÍTIO CERCADO, Curitiba",-25.5443488,-49.26656209999999
293,"rua antonio moreira lopes, CAJURU, Curitiba",-25.4735303,-49.191649
294,"rua  major nestor luiz de oliveira júnior, SANTO INÁCIO, Curitiba",-25.4266388,-49.3442423
295,"rua maria simao campos, UBERABA, Curitiba",-25.4854885,-49.2120294
296,"rua jornalista octávio sécundino, BOM RETIRO, Curitiba",-25.4050683,-49.2806126
297,"rua  são paulo, GUAÍRA, Curitiba",-25.4671717,-49.2774543
298,"rua saldanha marinho, CENTRO, Curitiba",-25.4313265,-49.2791618
299,"rua elohar scheremetta, CACHOEIRA, Curitiba",-25.3549943,-49.2578285
